iter	Logloss
0	0.6627940296
1	0.6324731188
2	0.6047323982
3	0.5783523694
4	0.556865711
5	0.534649921
6	0.5169661797
7	0.4986879805
8	0.4814261784
9	0.4657815635
10	0.449543421
11	0.4361335602
12	0.4179595618
13	0.4046401818
14	0.3931810695
15	0.3813061704
16	0.3709830722
17	0.3609005724
18	0.3506469531
19	0.3416894602
20	0.3329695597
21	0.325579155
22	0.3169587686
23	0.3110089868
24	0.3009960713
25	0.2950069084
26	0.2905608454
27	0.2841413354
28	0.2790482763
29	0.2734362382
30	0.2680773182
31	0.2630070005
32	0.2589021912
33	0.2537340363
34	0.2497355385
35	0.2447998554
36	0.2408993004
37	0.2363461363
38	0.232627102
39	0.2285257168
40	0.2228706116
41	0.21888642
42	0.2159459598
43	0.2129733927
44	0.2072269309
45	0.2038025731
46	0.2018393282
47	0.199601967
48	0.1963131312
49	0.1930214419
50	0.1913050963
51	0.1890528269
52	0.1846764695
53	0.1835275407
54	0.1820097737
55	0.1788205927
56	0.1767140668
57	0.1748629067
58	0.1721694298
59	0.1701290076
60	0.1676151653
61	0.1649471288
62	0.1641277801
63	0.1628065983
64	0.1607412712
65	0.1578101706
66	0.1564721556
67	0.1540365773
68	0.1522038686
69	0.1512531609
70	0.1495915853
71	0.1476096015
72	0.1439254748
73	0.1413293504
74	0.140800402
75	0.1394412208
76	0.1386038193
77	0.1373603855
78	0.1365883978
79	0.1338226765
80	0.1317042405
81	0.1310217154
82	0.1298124875
83	0.1275239914
84	0.126077046
85	0.1250602463
86	0.1242893843
87	0.1226420915
88	0.1208276799
89	0.11844343
90	0.1173531331
91	0.116088711
92	0.1152984145
93	0.1144968352
94	0.1136184363
95	0.1121757476
96	0.1107263044
97	0.1100027154
98	0.1093609728
99	0.1086996998
100	0.1080542555
101	0.1066441447
102	0.105681988
103	0.1047578015
104	0.1042639404
105	0.1033987122
106	0.102344431
107	0.1018286943
108	0.1014784835
109	0.1006551498
110	0.1001205024
111	0.09970753978
112	0.09819380277
113	0.0971496962
114	0.09629148428
115	0.09547486588
116	0.09487118319
117	0.09468547422
118	0.09413578963
119	0.09313437691
